,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police,metro,police
54,The Old Eagle,NW1 9LU,London Borough of Camden,51.54285,-0.139508,1.0,8.1,0.97363752764521,277,1,3.0,105.499349751605,224.10709627667904,1,1
55,The Lord Stanley,NW1 9BH,London Borough of Camden,51.547148,-0.129562,1.0,8.5,0.972580607612618,106,0,0.0,812.1407581642604,811.8949534094077,0,0
56,Lord Wargrave,W1H 5HE,City of Westminster,51.518117,-0.165765,1.0,8.8,0.9868536840879992,259,2,2.0,246.023625450678,207.22697444396505,1,1
57,The Warrington,W9 1EH,City of Westminster,51.526695,-0.183411,1.0,8.3,0.9797136538237692,85,2,0.0,378.6611755733424,1110.3401185776206,1,0
58,The Elephants Head,NW1 8QR,London Borough of Camden,51.540698,-0.143932,2.0,7.8,0.9857036433476896,355,1,4.0,164.3641222056679,286.40438194722844,1,1
59,The Windsor Castle,NW1 4SH,City of Westminster,51.526381,-0.162255,1.0,8.1,0.9709440111744848,80,1,1.0,416.92067651617657,471.0618989707343,1,1
60,The World's End,NW1 0NE,London Borough of Camden,51.539159,-0.142119,1.0,7.9,0.9960074496566174,344,1,5.0,73.68392652536158,127.26275150229684,1,1
61,The Garden Gate,NW3 2QE,London Borough of Camden,51.554679,-0.165585,1.0,7.8,0.9738749854498894,61,1,0.0,98.91378537648004,1461.184724321128,1,0
62,The Flask,NW3 1HE,London Borough of Camden,51.556631,-0.177141,1.0,8.0,0.9646257711558608,32,1,0.0,96.76161196013584,1345.9315661463324,1,0
63,The Royal Oak,W1H 1QN,City of Westminster,51.520094,-0.162501,1.0,8.3,0.9478780118728902,208,2,2.0,287.37464683535785,284.15091143748305,1,1
64,The Abbey Tavern,NW1 9QB,London Borough of Camden,51.545839,-0.141539,1.0,7.7,0.9761960190897452,151,0,2.0,438.6762254380168,401.874262621424,1,1
65,The Ordnance,NW8 6PS,City of Westminster,51.535794,-0.171563,1.0,7.4,0.9490792690024444,56,1,0.0,222.6621615772204,746.1448339505698,1,0
66,The Freemasons Arms,NW3 1NT,London Borough of Camden,51.556904,-0.168907,2.0,7.7,0.9535420789197998,37,0,0.0,238.6647353448897,1637.3305287767553,1,0
67,The Lord Palmerston,NW5 1HU,London Borough of Camden,51.559512,-0.140553,1.0,7.9,0.9618368059597252,102,1,1.0,361.6021638432745,362.9009477439661,1,1
